Date,Open,High,Low,Close
19991230,8863.5,8935.5,8853.5,8930.5
20000103,9091.5,9113.5,8670.5,8708
20000104,8703.5,8703.5,8459.5,8533.5
20000105,8370.5,8525.5,8366.5,8435.5
20000106,8427.5,8480.5,8341,8409
20000107,8463.5,8738.5,8452.5,8733.5
20000110,8833.5,8922.5,8805.5,8863.5
20000111,8843.5,8884.5,8764.5,8842
20000112,8763.5,8850,8732,8841.5
20000113,8843.5,9048.5,8827,8912.5
20000114,8953.5,9149.5,8953.5,9132.5
20000117,9166.5,9229.5,9050,9210.5
20000118,9210.5,9241.5,8993.5,9026.5
20000119,8993.5,9052.5,8918.5,9031.5
20000120,9119.5,9131,9011,9043.5
20000121,8973.5,9036.5,8866.5,8916
20000124,8963.5,9023.5,8850.5,8853.5
20000125,8784.5,8836.5,8745.5,8794.5
20000126,8819.5,8908,8762.5,8893
20000127,8927.5,9100.5,8866.5,9064.5
20000128,9043.5,9148,8968.5,8998.5
20000131,8932.5,8936,8737.5,8761.5
20000201,8864.5,8958.5,8822.5,8944.5
20000202,9002.5,9084.5,8954.5,9083
20000203,9103.5,9271.5,9056,9261.5
20000204,9321,9377.5,9249.5,9303.5
20000207,9304.5,9331,9171.5,9219
20000208,9211.5,9481.5,9203.5,9445.5
20000209,9466.5,9589.5,9439.5,9562.5
20000210,9449.5,9596.5,9432,9574.5
20000211,9651.5,9738.5,9499.5,9613.5
20000214,9504.5,9587,9468.5,9551.5
20000215,9562.5,9610,9333.5,9340
20000216,9466,9488.5,9268.5,9430
20000217,9427.5,9555.5,9309,9540.5
20000218,9511.5,9580.5,9467,9499.5
20000221,9386.5,9476.5,9363.5,9470.5
20000222,9463.5,9636.5,9454.5,9533
20000223,9563,9689.5,9552.5,9615
20000224,9693.5,9727.5,9491.5,9543.5
20000225,9656.5,9696.5,9568.5,9689
20000228,9643.5,9668.5,9404.5,9493.5
20000229,9553.5,9620,9527.5,9591.5
20000301,9639.5,9681.5,9530.5,9630.5
20000302,9643,9863.5,9539,9858.5
20000303,9843.5,9936.5,9794,9874
20000306,9878.5,9915.5,9838.5,9882.5
20000307,9942.5,10039.5,9829,9966.5
20000308,9906.5,10019.5,9858.5,9883.5
20000309,9960.5,9978.5,9785,9870.5
20000310,9953.5,9962.5,9860,9892.5
20000313,9843.5,9843.5,9548.5,9596.5
20000314,9633.5,9658.5,9549.5,9563.5
20000315,9457.5,9494.5,9314,9344.5
20000316,9416.5,9539.5,9368.5,9495
20000317,9679.5,9722,9462.5,9623.5
20000320,9661.5,9775.5,9627,9763.5
20000321,9744.5,9751,9631,9702.5
20000322,9765.5,9842,9676,9692.5
20000323,9731,9754.5,9561.5,9645.5
20000324,9697.5,9807.5,9639.5,9796.5
20000327,9804.5,9824.5,9722,9791.5
20000328,9784.5,9927.5,9776.5,9817.5
20000329,9806.5,9856,9751.5,9780.5
20000330,9674.5,9686.5,9505.5,9542.5
20000331,9519.5,9597.5,9409.5,9449.5
20000403,9455.5,9527.5,9288,9319
20000404,9364.5,9452.5,9344.5,9426.5
20000405,9366.5,9422,9089.5,9190.5
20000406,9251.5,9358.5,9196.5,9330
20000407,9364.5,9404.5,9271,9392
20000410,9444.5,9484.5,9382,9409.5
20000411,9259.5,9357,9249.5,9319.5
20000412,9346.5,9392,9286,9294.5
20000413,9194.5,9322.5,9167.5,9318.5
20000414,9224.5,9279.5,9033.5,9069.5
20000417,8824.5,9059.5,8781.5,9048.5
20000418,9118.5,9130,8963,9091.5
20000419,9164.5,9169,9009.5,9077
20000420,9076.5,9101,9036.5,9064.5
20000425,9035.5,9225,8960.5,9167.5
20000426,9214.5,9317.5,9178,9245.5
20000427,9249.5,9289,9017.5,9064.5
20000428,9164.5,9305.5,9135.5,9305.5
20000502,9339.5,9436,9334.5,9424.5
20000503,9367.5,9443,9219.5,9224.5
20000504,9229.5,9293.5,9185.5,9253
20000505,9274.5,9374,9199.5,9370.5
20000508,9375.5,9396.5,9247.5,9267
20000509,9254.5,9270,9092,9121.5
20000510,9094.5,9196.5,8962.5,8986.5
20000511,8927.5,9143.5,8876,9137.5
20000512,9135.5,9194.5,9064,9125
20000515,9138.5,9138.5,9053.5,9064.5
20000516,9125.5,9264.5,9113,9247.5
20000517,9210.5,9210.5,9054.5,9073.5
20000518,9049.5,9121.5,9014.5,9019.5
20000519,9012.5,9012.5,8813,8855
20000522,8847.5,8899.5,8680,8780
20000523,8836.5,8878,8737.5,8791.5
20000524,8675.5,8728.5,8656,8708.5
20000525,8757.5,8857,8742.5,8806.5
20000526,8726.5,8833,8685.5,8802.5
20000529,8858.5,8887,8839,8880.5
20000530,8896.5,9012,8891.5,8973.5
20000531,9054.5,9059.5,8956.5,8974.5
20000601,9014.5,9134.5,9004,9122.5
20000602,9110.5,9314.5,9099.5,9289.5
20000605,9290.5,9300,9205.5,9255.5
20000606,9264.5,9319.5,9150.5,9206.5
20000607,9164.5,9178.5,9096,9141.5
20000608,9178.5,9242.5,9060.5,9117.5
20000609,9142.5,9209,9077,9081.5
20000612,9124.5,9165,9068.5,9085.5
20000613,9080.5,9159.5,9017.5,9116.5
20000614,9147,9223,9096,9204
20000615,9198,9236,9168,9195.5
20000616,9224.5,9228,9083,9105.5
20000619,9033,9073,8974,9068.5
20000620,9079.5,9110,9040.5,9060.5
20000621,9043,9081,8929,8976
20000622,8988,9013,8859,8898.5
20000623,8898,8919,8817,8818
20000626,8813,8926.5,8800,8868
20000627,8873,8901,8795,8876.5
20000628,8901,8904.5,8835,8893
20000629,8883,8883,8671,8705
20000630,8738,8783,8696.5,8713
20000703,8733,8791.5,8664,8791.5
20000704,8748,8806,8730.5,8773
20000705,8782,8917.5,8768,8799
20000706,8778,8805.5,8718,8783
20000707,8804.5,8879.5,8733,8871
20000710,8887.5,8951,8851,8889
20000711,8873,8884.5,8776.5,8819
20000712,8849.5,8922,8836,8888.5
20000713,8884,9011.5,8823,9007
20000714,9014,9161,8985,9142
20000717,9168.5,9243,9140.5,9236
20000718,9208,9273,9173,9207
20000719,9207,9213.5,9137,9178
20000720,9148,9308,9143,9303
20000721,9294,9312.5,9188,9197.5
20000724,9168.5,9243.5,9120,9122
20000725,9114,9170,9105.5,9148
20000726,9159,9168,9061.5,9083
20000727,9082,9141,8975.5,8990.5
20000728,8994,9034,8878,8933
20000731,8933,9060,8914,9035
20000801,9034,9039,8898.5,8957
20000802,8978,9004,8872,8926
20000803,8879,8898.5,8757,8803
20000804,8834,8908,8805,8823
20000807,8848,8937,8837,8933
20000808,8918,8992.5,8883,8944
20000809,8972,9063.5,8971,9038
20000810,9013,9108.5,9010,9069.5
20000811,9063,9125,9019,9114
20000814,9129,9162,9090,9111
20000815,9157,9167.5,9071,9083
20000816,9103,9156,9082.5,9119
20000817,9118,9126,8998,9060
20000818,9063,9112,9007,9010.5
20000821,9038,9038,8933.5,8976
20000822,8998,9074,8991.5,9037
20000823,9043,9043,8938,9002
20000824,9058,9063.5,8994,8998
20000825,9024,9120,9015,9108
20000828,9119,9182,9088.5,9126
20000829,9105.5,9109.5,9049,9068
20000830,9055,9057,8954,8959
20000831,8976,9031,8943,9023
20000901,9005,9175.5,9005,9133.5
20000904,9138,9231,9137,9222
20000905,9221.5,9221.5,9146,9169
20000906,9163,9209,9088,9091
20000907,9070,9157,9059.5,9143
20000908,9151.5,9163,9019,9029.5
20000911,9022,9041,8964.5,8987.5
20000912,8948,8970,8896,8908.5
20000913,8919.5,8930,8757,8773
20000914,8788.5,8859,8762,8811.5
20000915,8794.5,8837.5,8727.5,8776.5
20000918,8704.5,8736.5,8625.5,8640
20000919,8629.5,8685,8601,8683.5
20000920,8710.5,8719,8475.5,8498
20000921,8552.5,8563,8330,8413.5
20000922,8239.5,8481,8239,8466.5
20000925,8519.5,8569.5,8489.5,8519.5
20000926,8499,8589.5,8475.5,8499
20000927,8469.5,8607,8460.5,8526.5
20000928,8536.5,8594.5,8462,8587.5
20000929,8569.5,8630.5,8516,8548.5
20001002,8524.5,8651.5,8510,8619.5
20001004,8599.5,8636,8497,8568
20001005,8583.5,8652.5,8570,8615
20001006,8634.5,8661.5,8444.5,8468
20001009,8471.5,8492.5,8357.5,8419
20001010,8448.5,8466,8394.5,8414.5
20001011,8334.5,8375.5,8200,8297
20001012,8324.5,8379.5,8099.5,8175.5
20001013,8144.5,8374.5,8109.5,8361.5
20001016,8414.5,8418.5,8306,8352.5
20001017,8350,8397,8257,8263.5
20001018,8219,8243.5,8015.5,8209
20001019,8234.5,8347,8222,8314.5
20001020,8350.5,8382,8258,8338.5
20001023,8367.5,8372,8260,8357
20001024,8361.5,8558.5,8326.5,8541
20001025,8481,8529.5,8414.5,8478
20001026,8454.5,8573.5,8449.5,8458
20001027,8559.5,8652.5,8546,8645.5
20001030,8633.5,8672.5,8595.5,8667.5
20001031,8673.5,8810.5,8669.5,8798.5
20001101,8807.5,8818.5,8728,8779.5
20001102,8791.5,8858.5,8775.5,8802.5
20001103,8824.5,8869.5,8788,8848
20001106,8870.5,8898,8822.5,8851.5
20001107,8852.5,8852.5,8742,8792
20001108,8828.5,8844,8709.5,8729
20001109,8689.5,8733,8637.5,8643
20001110,8669.5,8718.5,8536,8542.5
20001113,8514,8532,8394.5,8451.5
20001114,8488.5,8661.5,8485.5,8659.5
20001115,8635.5,8663.5,8583,8646.5
20001116,8619.5,8621,8505,8512.5
20001117,8484.5,8542.5,8414.5,8434.5
20001120,8454.5,8498.5,8289.5,8296
20001121,8312.5,8379.5,8287.5,8364.5
20001122,8320.5,8329,8170,8205.5
20001123,8209.5,8316.5,8156.5,8296.5
20001124,8323.5,8404.5,8262.5,8354.5
20001127,8410.5,8496.5,8369.5,8382.5
20001128,8371.5,8412,8297,8319.5
20001129,8273.5,8348,8221.5,8288.5
20001130,8234.5,8254.5,8050,8074.5
20001201,8159.5,8230.5,8140,8194.5
20001204,8184.5,8191.5,8028.5,8114
20001205,8156.5,8319,8148.5,8307.5
20001206,8374.5,8397,8286.5,8292.5
20001207,8255.5,8334,8178.5,8249.5
20001208,8279.5,8428.5,8279.5,8356.5
20001211,8423.5,8485,8406,8464.5
20001212,8463.5,8491,8407.5,8413.5
20001213,8464.5,8480.5,8259.5,8286.5
20001214,8239.5,8254.5,8122,8149.5
20001215,8069.5,8110.5,8015.5,8023
20001218,8061.5,8144,8023,8033
20001219,8051,8179.5,7973.5,8168.5
20001220,8043.5,8098.5,7885.5,7918.5
20001221,7888.5,7960.5,7769,7876.5
20001222,7917.5,7947.5,7860.5,7932.5
20001227,7961.5,8023.5,7930.5,8003.5
20001228,8038.5,8058,7985,7993.5
20001229,8058.5,8133.5,8025,8098.5
20010102,8068.5,8098.5,7929.5,7938.5
20010103,7898.5,8122.5,7825,8087.5
20010104,8168.5,8173,8016.5,8033.5
20010105,8068.5,8132.5,7995,8024
20010108,8012.5,8082.5,8003.5,8024
20010109,8100.5,8114.5,8005,8028.5
20010110,8058.5,8063.5,7937,7997
20010111,7997,8132,7984,8126
20010112,8128.5,8197.5,8116,8142.5
20010115,8166,8202,8136,8175.5
20010116,8178.5,8182,8094.5,8159.5
20010117,8199.5,8315,8199.5,8285.5
20010118,8263.5,8300,8233.5,8289
20010119,8348.5,8378,8274.5,8303
20010122,8308.5,8332.5,8237.5,8298
20010123,8300.5,8348.5,8244.5,8343.5
20010124,8366,8392,8325.5,8336
20010125,8337.5,8415.5,8314.5,8380.5
20010126,8315,8338.5,8290,8331.5
20010129,8331.5,8388.5,8297,8381.5
20010130,8382.5,8426.5,8341.5,8364.5
20010131,8379.5,8423,8354.5,8401
20010201,8377.5,8397,8336.5,8353.5
20010202,8383.5,8386.5,8259,8268
20010205,8235.5,8268.5,8229,8263.5
20010206,8270.5,8322.5,8250.5,8306.5
20010207,8270.5,8278,8217.5,8218.5
20010208,8232.5,8292,8211,8256.5
20010209,8229.5,8238.5,8124.5,8127
20010212,8140.5,8197.5,8129,8190
20010213,8206.5,8228.5,8167,8192
20010214,8153.5,8165.5,8076,8112.5
20010215,8130.5,8200.5,8104.5,8188.5
20010216,8138.5,8151,8073.5,8073.5
20010219,8098.5,8111,8068.5,8089.5
20010220,8099.5,8149,8042,8063.5
20010221,8028.5,8034.5,7929,7966.5
20010222,7929.5,7977,7836,7881.5
20010223,7916.5,7933.5,7675.5,7680.5
20010226,7772.5,7826.5,7742,7793.5
20010227,7806,7872.5,7771.5,7807.5
20010228,7793.5,7900,7780,7813
20010301,7773.5,7786.5,7703.5,7710
20010302,7718.5,7793.5,7657,7787.5
20010305,7787.5,7822,7739,7796
20010306,7838.5,7915.5,7835.5,7905.5
20010307,7867.5,7948.5,7859,7923
20010308,7933.5,7943.5,7850.5,7864.5
20010309,7833.5,7867.5,7793.5,7816.5
20010312,7753.5,7758.5,7643,7645
20010313,7565.5,7616.5,7531,7566
20010314,7603.5,7603.5,7254.5,7385.5
20010315,7441,7476.5,7357.5,7447
20010316,7456,7464.5,7320.5,7334.5
20010319,7365,7406.5,7238.5,7261.5
20010320,7320,7379.5,7300.5,7371.5
20010321,7269.5,7322.5,7188.5,7214.5
20010322,7187.5,7201.5,6939,6969.5
20010323,7089.5,7161.5,7052.5,7138.5
20010326,7207.5,7343.5,7185,7338
20010327,7294.5,7505,7275,7495.5
20010328,7454.5,7466.5,7361.5,7381.5
20010329,7342.5,7463.5,7293,7454.5
20010330,7424.5,7524.5,7379.5,7390
20010402,7488.5,7489.5,7276.5,7293.5
20010403,7273.5,7284,7091,7115
20010404,7089.5,7213.5,6962.5,7170
20010405,7230.5,7367.5,7208.5,7355
20010406,7396.5,7398,7230,7270
20010409,7254.5,7394,7251.5,7361.5
20010410,7372,7494.5,7365.5,7465
20010411,7454.5,7594.5,7449.5,7522.5
20010412,7543.5,7607.5,7487.5,7599.5
20010417,7502.5,7543,7406.5,7507
20010418,7622.5,7778.5,7608.5,7752.5
20010419,7759.5,7767.5,7686,7760.5
20010420,7776.5,7783.5,7679,7698.5
20010423,7694.5,7696.5,7610,7631.5
20010424,7639.5,7745,7634.5,7716.5
